Frequency,dB,pedal,Tone,Gain
17657.226562,-9.788287999999998,blues driver - C,0%,0%,
17700.292969,-9.879471000000006,blues driver - C,0%,0%,
17743.359375,-9.921745000000005,blues driver - C,0%,0%,
17786.425781,-10.753520999999996,blues driver - C,0%,0%,
17829.492188,-8.964432000000006,blues driver - C,0%,0%,
17872.558594,-8.822235000000003,blues driver - C,0%,0%,
17915.625,-9.329296000000003,blues driver - C,0%,0%,
17958.691406,-8.969547000000002,blues driver - C,0%,0%,
18001.757812,-8.935028000000006,blues driver - C,0%,0%,
18044.824219,-10.196587000000005,blues driver - C,0%,0%,
18087.890625,-11.239140000000003,blues driver - C,0%,0%,
18130.957031,-10.798404000000001,blues driver - C,0%,0%,
18174.023438,-9.984718000000004,blues driver - C,0%,0%,
18217.089844,-9.712451000000005,blues driver - C,0%,0%,
18260.15625,-9.544807000000002,blues driver - C,0%,0%,
18303.222656,-9.744334999999996,blues driver - C,0%,0%,
18346.289062,-10.986282000000006,blues driver - C,0%,0%,
18389.355469,-10.628719000000007,blues driver - C,0%,0%,
18432.421875,-10.376949,blues driver - C,0%,0%,
18475.488281,-10.705715000000001,blues driver - C,0%,0%,
18518.554688,-10.721332,blues driver - C,0%,0%,
18561.621094,-10.991062000000003,blues driver - C,0%,0%,
18604.6875,-11.685157,blues driver - C,0%,0%,
18647.753906,-10.894100000000005,blues driver - C,0%,0%,
18690.820312,-10.583133000000007,blues driver - C,0%,0%,
18733.886719,-9.765701000000004,blues driver - C,0%,0%,
18776.953125,-9.644085,blues driver - C,0%,0%,
18820.019531,-8.982532000000003,blues driver - C,0%,0%,
18863.085938,-8.532352000000007,blues driver - C,0%,0%,
18906.152344,-8.697170000000003,blues driver - C,0%,0%,
18949.21875,-10.840721000000006,blues driver - C,0%,0%,
18992.285156,-11.135577999999999,blues driver - C,0%,0%,
19035.351562,-10.526829000000003,blues driver - C,0%,0%,
19078.417969,-10.451927000000001,blues driver - C,0%,0%,
19121.484375,-9.555084000000004,blues driver - C,0%,0%,
19164.550781,-9.096679000000005,blues driver - C,0%,0%,
19207.617188,-9.531784000000005,blues driver - C,0%,0%,
19250.683594,-10.496264999999998,blues driver - C,0%,0%,
19293.75,-9.717044000000005,blues driver - C,0%,0%,
19336.816406,-9.2621,blues driver - C,0%,0%,
19379.882812,-10.822028999999997,blues driver - C,0%,0%,
19422.949219,-9.933373,blues driver - C,0%,0%,
19466.015625,-8.741806000000008,blues driver - C,0%,0%,
19509.082031,-9.737629000000002,blues driver - C,0%,0%,
19552.148438,-10.660663000000003,blues driver - C,0%,0%,
19595.214844,-11.922965000000001,blues driver - C,0%,0%,
19638.28125,-11.332763000000003,blues driver - C,0%,0%,
19681.347656,-9.874182999999999,blues driver - C,0%,0%,
19724.414062,-10.470741,blues driver - C,0%,0%,
19767.480469,-10.591671000000002,blues driver - C,0%,0%,
19810.546875,-9.676063000000003,blues driver - C,0%,0%,
19853.613281,-11.674643999999997,blues driver - C,0%,0%,
19896.679688,-11.950985,blues driver - C,0%,0%,
19939.746094,-10.354927,blues driver - C,0%,0%,
19982.8125,-10.624262999999996,blues driver - C,0%,0%,
43.066406,-15.014067000000002,blues driver - C,100%,0%,
86.132812,-4.591437000000001,blues driver - C,100%,0%,
129.199219,-0.39604000000000106,blues driver - C,100%,0%,
172.265625,0,blues driver - C,100%,0%,
215.332031,-0.7665640000000007,blues driver - C,100%,0%,
258.398438,-0.5873550000000005,blues driver - C,100%,0%,
301.464844,-0.4860059999999997,blues driver - C,100%,0%,
344.53125,-0.7929010000000023,blues driver - C,100%,0%,
387.597656,-0.6789819999999995,blues driver - C,100%,0%,
430.664062,-0.25528000000000084,blues driver - C,100%,0%,
473.730469,-0.3537320000000008,blues driver - C,100%,0%,
516.796875,-1.3490520000000004,blues driver - C,100%,0%,
559.863281,-1.223657000000001,blues driver - C,100%,0%,
602.929688,-1.792492000000001,blues driver - C,100%,0%,
645.996094,-1.609093999999999,blues driver - C,100%,0%,
689.0625,-1.9783869999999997,blues driver - C,100%,0%,
732.128906,-2.7021029999999993,blues driver - C,100%,0%,
775.195312,-2.6405360000000027,blues driver - C,100%,0%,
818.261719,-2.3861799999999977,blues driver - C,100%,0%,
861.328125,-2.3897069999999996,blues driver - C,100%,0%,
904.394531,-2.371750000000004,blues driver - C,100%,0%,
947.460938,-2.334412999999996,blues driver - C,100%,0%,
