Frequency,dB,pedal,Tone,Gain
10766.601562,-18.33852499999999,nobels odr-1,0%,0%,
10809.667969,-18.17125399999999,nobels odr-1,0%,0%,
10852.734375,-19.646606999999996,nobels odr-1,0%,0%,
10895.800781,-17.749272000000005,nobels odr-1,0%,0%,
10938.867188,-17.514946999999992,nobels odr-1,0%,0%,
10981.933594,-18.81207299999999,nobels odr-1,0%,0%,
11025,-17.609283999999995,nobels odr-1,0%,0%,
11068.066406,-18.513889,nobels odr-1,0%,0%,
11111.132812,-18.228930999999996,nobels odr-1,0%,0%,
11154.199219,-18.742286999999997,nobels odr-1,0%,0%,
11197.265625,-18.364417999999986,nobels odr-1,0%,0%,
11240.332031,-17.69923,nobels odr-1,0%,0%,
11283.398438,-18.771599000000002,nobels odr-1,0%,0%,
11326.464844,-18.967308999999993,nobels odr-1,0%,0%,
11369.53125,-19.898352999999993,nobels odr-1,0%,0%,
11412.597656,-18.955264999999997,nobels odr-1,0%,0%,
11455.664062,-18.15159599999999,nobels odr-1,0%,0%,
11498.730469,-19.154407999999997,nobels odr-1,0%,0%,
11541.796875,-16.926287999999992,nobels odr-1,0%,0%,
11584.863281,-16.943336999999993,nobels odr-1,0%,0%,
11627.929688,-17.648621,nobels odr-1,0%,0%,
11670.996094,-18.40370999999999,nobels odr-1,0%,0%,
11714.0625,-20.35229499999999,nobels odr-1,0%,0%,
11757.128906,-18.04591,nobels odr-1,0%,0%,
11800.195312,-18.098980999999995,nobels odr-1,0%,0%,
11843.261719,-18.74843599999999,nobels odr-1,0%,0%,
11886.328125,-18.90023099999999,nobels odr-1,0%,0%,
11929.394531,-19.534717999999998,nobels odr-1,0%,0%,
11972.460938,-17.830875999999996,nobels odr-1,0%,0%,
12015.527344,-18.479137,nobels odr-1,0%,0%,
12058.59375,-17.248039,nobels odr-1,0%,0%,
12101.660156,-17.674614999999996,nobels odr-1,0%,0%,
12144.726562,-19.726329999999997,nobels odr-1,0%,0%,
12187.792969,-18.48572999999999,nobels odr-1,0%,0%,
12230.859375,-18.943581000000002,nobels odr-1,0%,0%,
12273.925781,-18.893734999999992,nobels odr-1,0%,0%,
12316.992188,-19.031093,nobels odr-1,0%,0%,
12360.058594,-16.941638999999988,nobels odr-1,0%,0%,
12403.125,-17.110543,nobels odr-1,0%,0%,
12446.191406,-19.148433999999995,nobels odr-1,0%,0%,
12489.257812,-18.846954999999994,nobels odr-1,0%,0%,
12532.324219,-19.10117799999999,nobels odr-1,0%,0%,
12575.390625,-19.340916,nobels odr-1,0%,0%,
12618.457031,-18.134261999999993,nobels odr-1,0%,0%,
12661.523438,-18.37323099999999,nobels odr-1,0%,0%,
12704.589844,-18.069523000000004,nobels odr-1,0%,0%,
12747.65625,-19.297608000000004,nobels odr-1,0%,0%,
12790.722656,-18.552723999999998,nobels odr-1,0%,0%,
12833.789062,-17.873172999999994,nobels odr-1,0%,0%,
12876.855469,-19.489624,nobels odr-1,0%,0%,
12919.921875,-18.37213899999999,nobels odr-1,0%,0%,
12962.988281,-18.79048499999999,nobels odr-1,0%,0%,
13006.054688,-19.488837999999994,nobels odr-1,0%,0%,
13049.121094,-18.615458999999994,nobels odr-1,0%,0%,
13092.1875,-19.58781799999999,nobels odr-1,0%,0%,
13135.253906,-18.495662999999993,nobels odr-1,0%,0%,
13178.320312,-18.537284999999997,nobels odr-1,0%,0%,
13221.386719,-19.193886,nobels odr-1,0%,0%,
13264.453125,-19.803516000000002,nobels odr-1,0%,0%,
13307.519531,-19.588500999999987,nobels odr-1,0%,0%,
13350.585938,-18.324246000000002,nobels odr-1,0%,0%,
13393.652344,-19.177971,nobels odr-1,0%,0%,
13436.71875,-18.516273999999996,nobels odr-1,0%,0%,
13479.785156,-18.27779799999999,nobels odr-1,0%,0%,
13522.851562,-18.217094999999993,nobels odr-1,0%,0%,
13565.917969,-18.353637999999997,nobels odr-1,0%,0%,
13608.984375,-19.75878999999999,nobels odr-1,0%,0%,
13652.050781,-18.63520899999999,nobels odr-1,0%,0%,
13695.117188,-19.198395000000005,nobels odr-1,0%,0%,
13738.183594,-18.569610999999995,nobels odr-1,0%,0%,
13781.25,-17.999030999999988,nobels odr-1,0%,0%,
13824.316406,-18.326332,nobels odr-1,0%,0%,
13867.382812,-18.709412,nobels odr-1,0%,0%,
13910.449219,-20.048069000000005,nobels odr-1,0%,0%,
13953.515625,-18.177891000000002,nobels odr-1,0%,0%,
13996.582031,-17.588352999999998,nobels odr-1,0%,0%,
14039.648438,-19.01936399999999,nobels odr-1,0%,0%,
14082.714844,-18.53899,nobels odr-1,0%,0%,
14125.78125,-19.517178,nobels odr-1,0%,0%,
14168.847656,-19.146634,nobels odr-1,0%,0%,
14211.914062,-18.560081999999994,nobels odr-1,0%,0%,
14254.980469,-18.90311099999999,nobels odr-1,0%,0%,
14298.046875,-18.405902999999988,nobels odr-1,0%,0%,
14341.113281,-19.68922,nobels odr-1,0%,0%,
14384.179688,-17.665447999999998,nobels odr-1,0%,0%,
14427.246094,-17.55149099999999,nobels odr-1,0%,0%,
14470.3125,-19.99681499999999,nobels odr-1,0%,0%,
14513.378906,-18.701221999999994,nobels odr-1,0%,0%,
14556.445312,-19.256043,nobels odr-1,0%,0%,
14599.511719,-19.029317,nobels odr-1,0%,0%,
14642.578125,-19.66011499999999,nobels odr-1,0%,0%,
14685.644531,-18.611468999999992,nobels odr-1,0%,0%,
14728.710938,-17.922318000000004,nobels odr-1,0%,0%,
14771.777344,-19.916458999999996,nobels odr-1,0%,0%,
14814.84375,-19.27082399999999,nobels odr-1,0%,0%,
14857.910156,-19.158493999999997,nobels odr-1,0%,0%,
14900.976562,-19.551460999999996,nobels odr-1,0%,0%,
14944.042969,-19.175301000000005,nobels odr-1,0%,0%,
14987.109375,-20.429076999999992,nobels odr-1,0%,0%,
15030.175781,-19.61600899999999,nobels odr-1,0%,0%,
15073.242188,-21.104561000000004,nobels odr-1,0%,0%,
15116.308594,-20.923069000000005,nobels odr-1,0%,0%,
15159.375,-19.738032999999994,nobels odr-1,0%,0%,
15202.441406,-19.788307999999994,nobels odr-1,0%,0%,
15245.507812,-19.30089199999999,nobels odr-1,0%,0%,
15288.574219,-19.920437,nobels odr-1,0%,0%,
15331.640625,-18.647297000000002,nobels odr-1,0%,0%,
15374.707031,-18.789513,nobels odr-1,0%,0%,
15417.773438,-19.87672099999999,nobels odr-1,0%,0%,
15460.839844,-19.067776000000002,nobels odr-1,0%,0%,
15503.90625,-20.029041,nobels odr-1,0%,0%,
