Frequency,dB,pedal,Tone,Gain
15848.4375,-28.852942,morning glory,0%,0%,
15891.503906,-29.471329999999995,morning glory,0%,0%,
15934.570312,-28.922281999999996,morning glory,0%,0%,
15977.636719,-28.559328,morning glory,0%,0%,
16020.703125,-28.39721099999999,morning glory,0%,0%,
16063.769531,-28.002260999999997,morning glory,0%,0%,
16106.835938,-28.811350000000004,morning glory,0%,0%,
16149.902344,-28.750787999999993,morning glory,0%,0%,
16192.96875,-28.550000999999995,morning glory,0%,0%,
16236.035156,-29.070417,morning glory,0%,0%,
16279.101562,-28.995062000000004,morning glory,0%,0%,
16322.167969,-28.969117999999995,morning glory,0%,0%,
16365.234375,-28.379888000000008,morning glory,0%,0%,
16408.300781,-27.593713,morning glory,0%,0%,
16451.367188,-28.482874000000002,morning glory,0%,0%,
16494.433594,-28.872518,morning glory,0%,0%,
16537.5,-28.250299,morning glory,0%,0%,
16580.566406,-28.22816300000001,morning glory,0%,0%,
16623.632812,-28.743222999999993,morning glory,0%,0%,
16666.699219,-28.238195000000005,morning glory,0%,0%,
16709.765625,-29.232442999999996,morning glory,0%,0%,
16752.832031,-28.540040000000005,morning glory,0%,0%,
16795.898438,-28.82588700000001,morning glory,0%,0%,
16838.964844,-30.069024999999996,morning glory,0%,0%,
16882.03125,-29.432630000000003,morning glory,0%,0%,
16925.097656,-28.410982000000004,morning glory,0%,0%,
16968.164062,-28.891226000000003,morning glory,0%,0%,
17011.230469,-29.071512,morning glory,0%,0%,
17054.296875,-29.316968000000003,morning glory,0%,0%,
17097.363281,-29.818243000000002,morning glory,0%,0%,
17140.429688,-29.727621000000006,morning glory,0%,0%,
17183.496094,-29.063558999999998,morning glory,0%,0%,
17226.5625,-28.874097999999996,morning glory,0%,0%,
17269.628906,-29.142319999999998,morning glory,0%,0%,
17312.695312,-29.071329000000006,morning glory,0%,0%,
17355.761719,-28.375765,morning glory,0%,0%,
17398.828125,-28.404695000000004,morning glory,0%,0%,
17441.894531,-28.645863999999996,morning glory,0%,0%,
17484.960938,-29.150788999999996,morning glory,0%,0%,
17528.027344,-29.375680999999993,morning glory,0%,0%,
17571.09375,-29.382787000000008,morning glory,0%,0%,
17614.160156,-28.71593700000001,morning glory,0%,0%,
17657.226562,-28.788079999999994,morning glory,0%,0%,
17700.292969,-29.635884999999995,morning glory,0%,0%,
17743.359375,-29.378915000000006,morning glory,0%,0%,
17786.425781,-29.125639,morning glory,0%,0%,
17829.492188,-29.334623000000008,morning glory,0%,0%,
17872.558594,-28.516655999999998,morning glory,0%,0%,
17915.625,-29.008156999999997,morning glory,0%,0%,
17958.691406,-29.299230999999992,morning glory,0%,0%,
18001.757812,-28.999410000000005,morning glory,0%,0%,
18044.824219,-29.347772999999997,morning glory,0%,0%,
18087.890625,-29.558065999999997,morning glory,0%,0%,
