frequency_hz,dB,pedal,gain,tone
10680.46875,-20.646404000000004,Morning Glory v4,100%,0%
10723.535156,-20.697757999999993,Morning Glory v4,100%,0%
10766.601562,-20.811339999999994,Morning Glory v4,100%,0%
10809.667969,-21.072719,Morning Glory v4,100%,0%
10852.734375,-21.028576,Morning Glory v4,100%,0%
10895.800781,-20.890724999999996,Morning Glory v4,100%,0%
10938.867188,-21.314487,Morning Glory v4,100%,0%
10981.933594,-21.067112,Morning Glory v4,100%,0%
11025,-20.707412999999995,Morning Glory v4,100%,0%
11068.066406,-21.325184,Morning Glory v4,100%,0%
11111.132812,-21.15377,Morning Glory v4,100%,0%
11154.199219,-21.222876999999997,Morning Glory v4,100%,0%
11197.265625,-21.708123,Morning Glory v4,100%,0%
11240.332031,-21.390845999999996,Morning Glory v4,100%,0%
11283.398438,-21.546802999999997,Morning Glory v4,100%,0%
11326.464844,-21.581978,Morning Glory v4,100%,0%
11369.53125,-22.042896,Morning Glory v4,100%,0%
11412.597656,-21.846076999999994,Morning Glory v4,100%,0%
11455.664062,-21.777697999999994,Morning Glory v4,100%,0%
11498.730469,-22.129818999999998,Morning Glory v4,100%,0%
11541.796875,-21.875794,Morning Glory v4,100%,0%
11584.863281,-21.4814,Morning Glory v4,100%,0%
11627.929688,-21.721317999999997,Morning Glory v4,100%,0%
11670.996094,-22.346168,Morning Glory v4,100%,0%
11714.0625,-22.282334,Morning Glory v4,100%,0%
11757.128906,-22.150619999999996,Morning Glory v4,100%,0%
11800.195312,-21.760483,Morning Glory v4,100%,0%
11843.261719,-21.973549,Morning Glory v4,100%,0%
11886.328125,-22.357902000000003,Morning Glory v4,100%,0%
11929.394531,-22.598633,Morning Glory v4,100%,0%
11972.460938,-22.772797000000004,Morning Glory v4,100%,0%
12015.527344,-22.397712,Morning Glory v4,100%,0%
12058.59375,-22.733298999999995,Morning Glory v4,100%,0%
12101.660156,-22.555473,Morning Glory v4,100%,0%
12144.726562,-22.339501,Morning Glory v4,100%,0%
12187.792969,-22.594569999999997,Morning Glory v4,100%,0%
12230.859375,-22.761082000000002,Morning Glory v4,100%,0%
12273.925781,-22.777594999999998,Morning Glory v4,100%,0%
12316.992188,-22.563099,Morning Glory v4,100%,0%
12360.058594,-22.953868999999997,Morning Glory v4,100%,0%
12403.125,-22.875244000000002,Morning Glory v4,100%,0%
12446.191406,-22.763095999999997,Morning Glory v4,100%,0%
12489.257812,-22.943600000000004,Morning Glory v4,100%,0%
12532.324219,-23.240764999999996,Morning Glory v4,100%,0%
12575.390625,-22.995597999999994,Morning Glory v4,100%,0%
12618.457031,-23.289538999999998,Morning Glory v4,100%,0%
12661.523438,-23.421000999999997,Morning Glory v4,100%,0%
12704.589844,-23.473419,Morning Glory v4,100%,0%
12747.65625,-23.714847,Morning Glory v4,100%,0%
12790.722656,-23.646003999999998,Morning Glory v4,100%,0%
12833.789062,-23.672984999999997,Morning Glory v4,100%,0%
12876.855469,-23.628425999999997,Morning Glory v4,100%,0%
12919.921875,-23.508564,Morning Glory v4,100%,0%
12962.988281,-23.924079999999996,Morning Glory v4,100%,0%
13006.054688,-23.719817999999997,Morning Glory v4,100%,0%
13049.121094,-23.777454,Morning Glory v4,100%,0%
13092.1875,-23.994866000000002,Morning Glory v4,100%,0%
13135.253906,-23.768433,Morning Glory v4,100%,0%
13178.320312,-23.678086,Morning Glory v4,100%,0%
13221.386719,-23.974044999999997,Morning Glory v4,100%,0%
13264.453125,-24.013474000000002,Morning Glory v4,100%,0%
13307.519531,-24.357093999999996,Morning Glory v4,100%,0%
13350.585938,-23.953853000000002,Morning Glory v4,100%,0%
13393.652344,-24.236281999999996,Morning Glory v4,100%,0%
13436.71875,-24.653435,Morning Glory v4,100%,0%
13479.785156,-24.392398999999997,Morning Glory v4,100%,0%
13522.851562,-24.408955,Morning Glory v4,100%,0%
13565.917969,-24.351172999999996,Morning Glory v4,100%,0%
13608.984375,-24.110248999999996,Morning Glory v4,100%,0%
13652.050781,-24.559478999999996,Morning Glory v4,100%,0%
13695.117188,-24.467480000000002,Morning Glory v4,100%,0%
13738.183594,-24.567745000000002,Morning Glory v4,100%,0%
13781.25,-24.937363000000005,Morning Glory v4,100%,0%
13824.316406,-24.901516,Morning Glory v4,100%,0%
13867.382812,-25.127674,Morning Glory v4,100%,0%
13910.449219,-24.657494,Morning Glory v4,100%,0%
13953.515625,-24.927135,Morning Glory v4,100%,0%
13996.582031,-25.270290000000003,Morning Glory v4,100%,0%
14039.648438,-24.558251,Morning Glory v4,100%,0%
14082.714844,-25.074416999999997,Morning Glory v4,100%,0%
14125.78125,-25.03801,Morning Glory v4,100%,0%
14168.847656,-24.797657,Morning Glory v4,100%,0%
14211.914062,-25.131676,Morning Glory v4,100%,0%
14254.980469,-24.998733,Morning Glory v4,100%,0%
14298.046875,-25.090168,Morning Glory v4,100%,0%
14341.113281,-25.102733,Morning Glory v4,100%,0%
14384.179688,-25.500884999999997,Morning Glory v4,100%,0%
14427.246094,-25.054271999999997,Morning Glory v4,100%,0%
14470.3125,-25.648361,Morning Glory v4,100%,0%
14513.378906,-25.881291000000004,Morning Glory v4,100%,0%
14556.445312,-25.917945999999993,Morning Glory v4,100%,0%
14599.511719,-25.755997,Morning Glory v4,100%,0%
14642.578125,-25.679139,Morning Glory v4,100%,0%
14685.644531,-25.706211000000003,Morning Glory v4,100%,0%
14728.710938,-25.479343,Morning Glory v4,100%,0%
14771.777344,-25.850029,Morning Glory v4,100%,0%
14814.84375,-25.797942999999997,Morning Glory v4,100%,0%
14857.910156,-25.943317999999998,Morning Glory v4,100%,0%
14900.976562,-26.370509999999996,Morning Glory v4,100%,0%
14944.042969,-26.233334,Morning Glory v4,100%,0%
14987.109375,-26.373107999999995,Morning Glory v4,100%,0%
15030.175781,-26.229569000000005,Morning Glory v4,100%,0%
15073.242188,-26.221683,Morning Glory v4,100%,0%
15116.308594,-26.231331000000004,Morning Glory v4,100%,0%
15159.375,-26.374541999999998,Morning Glory v4,100%,0%
15202.441406,-26.387852000000002,Morning Glory v4,100%,0%
15245.507812,-26.357800000000005,Morning Glory v4,100%,0%
15288.574219,-26.604622,Morning Glory v4,100%,0%
15331.640625,-26.410671,Morning Glory v4,100%,0%
15374.707031,-26.643029000000006,Morning Glory v4,100%,0%
15417.773438,-26.494972999999995,Morning Glory v4,100%,0%
15460.839844,-26.648659000000002,Morning Glory v4,100%,0%
15503.90625,-26.433006,Morning Glory v4,100%,0%
15546.972656,-26.799935000000005,Morning Glory v4,100%,0%
15590.039062,-26.843758,Morning Glory v4,100%,0%
15633.105469,-26.600009999999997,Morning Glory v4,100%,0%
15676.171875,-26.829155,Morning Glory v4,100%,0%
15719.238281,-27.068268000000003,Morning Glory v4,100%,0%
15762.304688,-27.06971,Morning Glory v4,100%,0%
15805.371094,-27.149966999999997,Morning Glory v4,100%,0%
15848.4375,-27.082530999999996,Morning Glory v4,100%,0%
15891.503906,-27.112097999999996,Morning Glory v4,100%,0%
15934.570312,-27.069069,Morning Glory v4,100%,0%
15977.636719,-27.568413,Morning Glory v4,100%,0%
16020.703125,-27.117064999999997,Morning Glory v4,100%,0%
16063.769531,-26.968284999999995,Morning Glory v4,100%,0%
16106.835938,-27.443802000000005,Morning Glory v4,100%,0%
16149.902344,-27.400788,Morning Glory v4,100%,0%
16192.96875,-27.450992999999997,Morning Glory v4,100%,0%
16236.035156,-27.328021999999997,Morning Glory v4,100%,0%
16279.101562,-27.43739,Morning Glory v4,100%,0%
16322.167969,-27.420646999999995,Morning Glory v4,100%,0%
16365.234375,-27.258110000000002,Morning Glory v4,100%,0%
16408.300781,-27.181010999999998,Morning Glory v4,100%,0%
16451.367188,-27.712738,Morning Glory v4,100%,0%
16494.433594,-27.630809999999997,Morning Glory v4,100%,0%
16537.5,-27.455948,Morning Glory v4,100%,0%
16580.566406,-27.992985000000004,Morning Glory v4,100%,0%
16623.632812,-27.88921,Morning Glory v4,100%,0%
16666.699219,-27.997543,Morning Glory v4,100%,0%
16709.765625,-28.071861999999996,Morning Glory v4,100%,0%
16752.832031,-28.354689999999998,Morning Glory v4,100%,0%
16795.898438,-28.311729,Morning Glory v4,100%,0%
16838.964844,-28.740851999999997,Morning Glory v4,100%,0%
16882.03125,-28.542057,Morning Glory v4,100%,0%
16925.097656,-28.335750999999995,Morning Glory v4,100%,0%
16968.164062,-28.124432,Morning Glory v4,100%,0%
17011.230469,-28.431098999999996,Morning Glory v4,100%,0%
17054.296875,-28.621906000000003,Morning Glory v4,100%,0%
17097.363281,-28.792682,Morning Glory v4,100%,0%
17140.429688,-28.619747000000004,Morning Glory v4,100%,0%
17183.496094,-28.519253,Morning Glory v4,100%,0%
17226.5625,-28.325756,Morning Glory v4,100%,0%
17269.628906,-28.966132999999992,Morning Glory v4,100%,0%
17312.695312,-28.897620999999994,Morning Glory v4,100%,0%
17355.761719,-28.673874000000005,Morning Glory v4,100%,0%
17398.828125,-28.750587000000003,Morning Glory v4,100%,0%
17441.894531,-28.652386000000007,Morning Glory v4,100%,0%
17484.960938,-28.747283999999993,Morning Glory v4,100%,0%
17528.027344,-29.196258999999998,Morning Glory v4,100%,0%
17571.09375,-29.120334000000007,Morning Glory v4,100%,0%
17614.160156,-29.107087,Morning Glory v4,100%,0%
17657.226562,-29.082924,Morning Glory v4,100%,0%
17700.292969,-29.231503000000004,Morning Glory v4,100%,0%
17743.359375,-29.08715,Morning Glory v4,100%,0%
17786.425781,-29.323391,Morning Glory v4,100%,0%
17829.492188,-29.359028000000002,Morning Glory v4,100%,0%
17872.558594,-29.493782000000003,Morning Glory v4,100%,0%
17915.625,-29.643768,Morning Glory v4,100%,0%
