frequency_hz,dB,pedal,gain,tone
10422.070312,-0.8340279999999964,nobels,100%,50%
10465.136719,-0.6976979999999955,nobels,100%,50%
10508.203125,-0.8341269999999952,nobels,100%,50%
10551.269531,-1.144549000000005,nobels,100%,50%
10594.335938,-0.967127000000005,nobels,100%,50%
10637.402344,-0.8433399999999978,nobels,100%,50%
10680.46875,-0.8471169999999972,nobels,100%,50%
10723.535156,-0.7582420000000027,nobels,100%,50%
10766.601562,-0.6676009999999977,nobels,100%,50%
10809.667969,-0.8588540000000009,nobels,100%,50%
10852.734375,-0.6889249999999976,nobels,100%,50%
10895.800781,-0.8306789999999964,nobels,100%,50%
10938.867188,-0.8041669999999996,nobels,100%,50%
10981.933594,-0.6086370000000016,nobels,100%,50%
11025,-0.684308999999999,nobels,100%,50%
11068.066406,-0.9853079999999963,nobels,100%,50%
11111.132812,-0.9271789999999953,nobels,100%,50%
11154.199219,-0.825803999999998,nobels,100%,50%
11197.265625,-1.1267949999999942,nobels,100%,50%
11240.332031,-0.7702960000000019,nobels,100%,50%
11283.398438,-0.5734989999999982,nobels,100%,50%
11326.464844,-0.8753339999999952,nobels,100%,50%
11369.53125,-0.7053429999999992,nobels,100%,50%
11412.597656,-0.5470570000000023,nobels,100%,50%
11455.664062,-0.8987139999999982,nobels,100%,50%
11498.730469,-0.9403589999999937,nobels,100%,50%
11541.796875,-0.9483090000000018,nobels,100%,50%
11584.863281,-0.47173099999999835,nobels,100%,50%
11627.929688,-0.7899069999999995,nobels,100%,50%
11670.996094,-0.8656750000000031,nobels,100%,50%
11714.0625,-0.718396999999996,nobels,100%,50%
11757.128906,-0.8461099999999959,nobels,100%,50%
11800.195312,-0.728625000000001,nobels,100%,50%
11843.261719,-0.7746059999999986,nobels,100%,50%
11886.328125,-1.0777420000000006,nobels,100%,50%
11929.394531,-1.1397419999999983,nobels,100%,50%
11972.460938,-1.1433930000000032,nobels,100%,50%
12015.527344,-0.7873669999999962,nobels,100%,50%
12058.59375,-0.8288670000000025,nobels,100%,50%
12101.660156,-0.5439089999999993,nobels,100%,50%
12144.726562,-0.7383249999999961,nobels,100%,50%
12187.792969,-1.1311279999999968,nobels,100%,50%
12230.859375,-0.9642849999999967,nobels,100%,50%
12273.925781,-1.2756789999999967,nobels,100%,50%
12316.992188,-1.0190600000000032,nobels,100%,50%
12360.058594,-0.8153399999999991,nobels,100%,50%
12403.125,-0.949224000000001,nobels,100%,50%
12446.191406,-0.7480489999999946,nobels,100%,50%
12489.257812,-0.9754620000000003,nobels,100%,50%
12532.324219,-0.714063000000003,nobels,100%,50%
12575.390625,-0.6508690000000001,nobels,100%,50%
12618.457031,-0.7372960000000006,nobels,100%,50%
12661.523438,-0.9220869999999977,nobels,100%,50%
12704.589844,-0.7486359999999976,nobels,100%,50%
12747.65625,-0.7473549999999989,nobels,100%,50%
12790.722656,-0.9579559999999958,nobels,100%,50%
12833.789062,-0.7698269999999994,nobels,100%,50%
12876.855469,-1.157620999999999,nobels,100%,50%
12919.921875,-1.0950670000000002,nobels,100%,50%
12962.988281,-0.9906030000000001,nobels,100%,50%
13006.054688,-0.9585210000000046,nobels,100%,50%
13049.121094,-0.8551809999999946,nobels,100%,50%
13092.1875,-0.8527969999999954,nobels,100%,50%
13135.253906,-1.0300279999999944,nobels,100%,50%
13178.320312,-0.8087679999999935,nobels,100%,50%
13221.386719,-0.9402490000000014,nobels,100%,50%
13264.453125,-0.8380219999999952,nobels,100%,50%
13307.519531,-1.0646189999999933,nobels,100%,50%
13350.585938,-0.7447110000000023,nobels,100%,50%
13393.652344,-0.7908490000000015,nobels,100%,50%
13436.71875,-1.0233519999999956,nobels,100%,50%
13479.785156,-0.8651300000000006,nobels,100%,50%
13522.851562,-0.8369470000000021,nobels,100%,50%
13565.917969,-0.8313620000000057,nobels,100%,50%
13608.984375,-0.8960889999999964,nobels,100%,50%
13652.050781,-1.175740999999995,nobels,100%,50%
13695.117188,-1.0433220000000034,nobels,100%,50%
13738.183594,-1.0786840000000026,nobels,100%,50%
13781.25,-0.9853609999999975,nobels,100%,50%
13824.316406,-0.8637900000000016,nobels,100%,50%
13867.382812,-0.9588529999999977,nobels,100%,50%
13910.449219,-0.7895870000000045,nobels,100%,50%
13953.515625,-1.0238389999999953,nobels,100%,50%
13996.582031,-0.6806240000000017,nobels,100%,50%
14039.648438,-0.7570400000000035,nobels,100%,50%
14082.714844,-0.7027339999999995,nobels,100%,50%
14125.78125,-1.0843029999999985,nobels,100%,50%
14168.847656,-1.173441000000004,nobels,100%,50%
14211.914062,-1.0557879999999997,nobels,100%,50%
14254.980469,-1.0525299999999973,nobels,100%,50%
14298.046875,-0.758817999999998,nobels,100%,50%
14341.113281,-1.150927000000003,nobels,100%,50%
14384.179688,-1.224882000000001,nobels,100%,50%
14427.246094,-0.9781509999999969,nobels,100%,50%
14470.3125,-1.0899259999999984,nobels,100%,50%
14513.378906,-1.1211450000000056,nobels,100%,50%
14556.445312,-1.0817320000000024,nobels,100%,50%
14599.511719,-1.0206090000000003,nobels,100%,50%
14642.578125,-1.3844509999999985,nobels,100%,50%
14685.644531,-1.2807249999999968,nobels,100%,50%
14728.710938,-0.9310970000000012,nobels,100%,50%
14771.777344,-1.1273440000000008,nobels,100%,50%
14814.84375,-0.9183939999999993,nobels,100%,50%
14857.910156,-1.2081850000000003,nobels,100%,50%
14900.976562,-1.1748019999999997,nobels,100%,50%
14944.042969,-0.9176350000000042,nobels,100%,50%
14987.109375,-1.2518559999999965,nobels,100%,50%
15030.175781,-1.3138450000000006,nobels,100%,50%
15073.242188,-1.3165489999999949,nobels,100%,50%
15116.308594,-1.0136820000000029,nobels,100%,50%
15159.375,-1.0260529999999974,nobels,100%,50%
15202.441406,-1.3012409999999974,nobels,100%,50%
15245.507812,-1.311396000000002,nobels,100%,50%
15288.574219,-1.2716160000000016,nobels,100%,50%
15331.640625,-1.1124440000000035,nobels,100%,50%
15374.707031,-1.014445000000002,nobels,100%,50%
15417.773438,-1.0199789999999993,nobels,100%,50%
15460.839844,-1.325417999999999,nobels,100%,50%
15503.90625,-0.873154999999997,nobels,100%,50%
15546.972656,-1.1617979999999974,nobels,100%,50%
15590.039062,-0.9769040000000047,nobels,100%,50%
15633.105469,-0.9356699999999947,nobels,100%,50%
15676.171875,-1.3720599999999976,nobels,100%,50%
15719.238281,-0.8644510000000025,nobels,100%,50%
15762.304688,-1.4030930000000055,nobels,100%,50%
15805.371094,-1.3793959999999998,nobels,100%,50%
15848.4375,-1.1837369999999936,nobels,100%,50%
15891.503906,-1.1045739999999995,nobels,100%,50%
15934.570312,-1.2817930000000004,nobels,100%,50%
